Name,AC,Alignment,CR,Current HP,Damage,Environment,Hit Points,Initiative,Initiative Roll,Legendary,Page Number,Size,Source,Speed (ft),Type
Pech Lithlord,17,,7,104,,,104,0,10,,295,,Creature Codex,,Elemental
Mold Zombie,13,,3,75,,,75,-1,9,,394,,Creature Codex,,Undead
Bolt-Thrower,14,,2,44,,,44,3,13,,52,,A5e Monstrous Menagerie,,Construct
Mummy Lord,17,,15,97,,,97,0,10,Legendary,229,,5e SRD,,Undead
Naiad,15,,1,22,,,22,1,11,,189,,A5e Monstrous Menagerie,,Fey
Ancient Green Dragon (+),21,,24,420,,,420,1,11,Legendary,111,,A5e Monstrous Menagerie,,Dragon
Hodag,13,,3,52,,,52,1,11,,200,,Tome of Beasts 2,,Beast
Colláis,16,,10,150,,,150,2,12,,69,,Tome of Beasts 2,,Monstrosity
Witch Queen,15,,5,77,,,77,3,13,,97,,Creature Codex,,Humanoid
Gerridae,14,,1,77,,,77,2,12,,212,,Tome of Beasts,,Fey
Bone Devil,19,,9,142,,,142,3,13,,80,,A5e Monstrous Menagerie,,Fiend
Roggenwolf,13,,2,60,,,60,3,13,,320,,Creature Codex,,Monstrosity
Phantom,11,,1,22,,,22,1,11,,296,,Creature Codex,,Undead
Goliath Longlegs,16,,7,162,,,162,2,12,,206,,Creature Codex,,Monstrosity
Cyclops Myrmidon,17,,10,126,,,126,0,10,,58,,A5e Monstrous Menagerie,,Giant
Npc: Infested Duelist,18,,9,144,,,144,5,15,,409,,Tome of Beasts 3,,Humanoid
Moonchild Naga,15,,6,75,,,75,4,14,,273,,Creature Codex,,Monstrosity
Incandescent One,16,,9,144,,,144,4,14,,244,,Tome of Beasts 3,,Celestial
"Golem, Ice",16,,8,114,,,114,0,10,,215,,Tome of Beasts 3,,Construct
Vorthropod,15,,5,127,,,127,0,10,,387,,Tome of Beasts 3,,Monstrosity
Shadow Beast,14,,7,135,,,135,4,14,,345,,Tome of Beasts,,Fey
Gorgon,19,,5,114,,,114,0,10,,171,,5e SRD,,Monstrosity
Panther,12,,0.25,13,,,13,2,12,,333,,5e SRD,,Beast
Erina Defender,15,,1,44,,,44,2,12,,178,,Tome of Beasts,,Humanoid
Mountain Dwarf Lord,20,,14,171,,,171,1,11,,477,,A5e Monstrous Menagerie,,Humanoid
Coral Drake,16,,7,127,,,127,-5,5,,150,,Tome of Beasts,,Dragon
Water Elemental,14,,5,114,,,114,2,12,,125,,5e SRD,,Elemental
"Baba Yaga's Horsemen, Red Sun",20,,11,171,,,171,0,10,,29,,Tome of Beasts,,Fey
Shadow Elf Spellcaster Drider,17,,6,114,,,114,3,13,,187,,A5e Monstrous Menagerie,,Monstrosity
Npc: Cultist Psychophant,15,,9,149,,,149,1,11,,405,,Tome of Beasts 3,,Humanoid
Shurale,14,,7,105,,,105,4,14,,327,,Tome of Beasts 2,,Fey
Blink Dog,13,,0.25,22,,,22,3,13,,318,,5e SRD,,Fey
Wyrmling Wind Dragon,14,,1,45,,,45,4,14,,131,,Tome of Beasts,,Dragon
Ankylosaurus,16,,3,63,,,63,0,10,,90,,A5e Monstrous Menagerie,,Beast
Asp Vine,13,,4,55,,,55,1,11,,45,,Tome of Beasts 3,,Plant
Young Cave Dragon,17,,8,157,,,157,1,11,,127,,Tome of Beasts,,Dragon
Wolf,13,,0.25,11,,,11,2,12,,341,,5e SRD,,Beast
Tetomatli,16,,8,152,,,152,0,10,,345,,Tome of Beasts 2,,Construct
Peluda Drake,15,,3,68,,,68,2,12,,130,,Creature Codex,,Dragon
Pixie’s Umbrella,7,,0.125,10,,,10,-3,7,,158,,Tome of Beasts 2,,Plant
Great Wyrm Green Dragon,21,,24,840,,,840,1,11,Legendary,111,,A5e Monstrous Menagerie,,Dragon
"Demon, Balbazu",13,,2,36,,,36,3,13,,107,,Tome of Beasts 3,,Fiend
Vengeful Ghost,11,,8,58,,,58,1,11,,227,,A5e Monstrous Menagerie,,Undead
Two-Headed Eagle,15,,7,142,,,142,5,15,,360,,Creature Codex,,Monstrosity
Vampire Priestess,16,,8,105,,,105,1,11,,367,,Creature Codex,,Undead
Moonkite,15,,5,93,,,93,4,14,,260,,Tome of Beasts 2,,Celestial
Basilisk,12,,3,52,,,52,-1,9,,24,,5e SRD,,Monstrosity
Ancient Gold Dragon (+),22,,26,487,,,487,2,12,Legendary,170,,A5e Monstrous Menagerie,,Dragon
Grick,14,,2,27,,,27,2,12,,173,,5e SRD,,Monstrosity
Spider Drake,18,,9,136,,,136,1,11,,348,,Creature Codex,,Dragon
Sand Spider,15,,7,105,,,105,3,13,,364,,Tome of Beasts,,Beast
Great Mandrake,11,,1,44,,,44,-1,9,,260,,Creature Codex,,Plant
Elk,10,,0.25,13,,,13,0,10,,322,,5e SRD,,Beast
Hebi-Doku,15,,8,123,,,123,5,15,,222,,Tome of Beasts 2,,Fey
Herd Skulker,15,,1,45,,,45,3,13,,231,,Tome of Beasts 3,,Monstrosity
Al-Aeshma Genie,17,,9,172,,,172,2,12,,211,,Tome of Beasts,,Elemental
Alke,14,,5,114,,,114,2,12,,16,,Tome of Beasts 3,,Monstrosity
Snow Terror,16,,8,127,,,127,6,16,,334,,Tome of Beasts 2,,Fiend
Aviere,12,,0.5,17,,,17,2,12,,36,,Tome of Beasts 2,,Celestial
Adult Cave Dragon,18,,16,243,,,243,1,11,Legendary,125,,Tome of Beasts,,Dragon
Necrotech Bonecage Constrictor,16,,9,175,,,175,3,13,,287,,Tome of Beasts 3,,Undead
Shroud,13,,0.125,9,,,9,1,11,,348,,Tome of Beasts,,Undead
Shimmer Seal,12,,5,105,,,105,2,12,,324,,Tome of Beasts 2,,Beast
Deep One Archimandrite,15,,8,153,,,153,2,12,,74,,Tome of Beasts,,Humanoid
Merfolk,11,,0.125,11,,,11,1,11,,329,,A5e Monstrous Menagerie,,Humanoid
Death Barque,17,,12,198,,,198,4,14,,268,,Tome of Beasts 2,,Undead
Strider,16,,5,90,,,90,4,14,,491,,A5e Monstrous Menagerie,,Humanoid
Ratatosk Warlord,16,,5,77,,,77,4,14,,314,,Creature Codex,,Celestial
Talus Flow,13,,3,102,,,102,0,10,,365,,Tome of Beasts 3,,Elemental
Ancient Wind Dragon,20,,22,425,,,425,4,14,Legendary,142,,Tome of Beasts,,Dragon
Vampire Patrician,16,,10,119,,,119,4,14,,365,,Creature Codex,,Undead
Goat,10,,0,4,,,4,0,10,,330,,5e SRD,,Beast
Stone Guardian,17,,10,178,,,178,0,10,,265,,A5e Monstrous Menagerie,,Construct
Avestruzii Champion,15,,2,45,,,45,1,11,,48,,Tome of Beasts 3,,Humanoid
Water Leaper,14,,4,97,,,97,2,12,,406,,Tome of Beasts,,Monstrosity
Moss Lurker,15,,1,45,,,45,2,12,,298,,Tome of Beasts,,Humanoid
Ramag,13,,0.25,27,,,27,2,12,,317,,Tome of Beasts,,Humanoid
Skein Witch,20,,12,162,,,162,1,11,,349,,Tome of Beasts,,Celestial
Broodiken,13,,1,55,,,55,2,12,,45,,Tome of Beasts,,Construct
Mage,12,,6,40,,,40,2,12,,347,,5e SRD,,Humanoid
King Kobold,15,,6,112,,,112,5,15,,162,,Creature Codex,,Humanoid
Goat-Man,14,,3,65,,,65,2,12,,231,,Tome of Beasts,,Monstrosity
Abbanith Giant,13,,3,76,,,76,-1,9,,170,,Tome of Beasts 2,,Giant
Ophidiotaur,16,,5,95,,,95,1,11,,282,,Tome of Beasts 2,,Monstrosity
Starving Specter,13,,5,90,,,90,3,13,,356,,Tome of Beasts 3,,Undead
Ved Pinion,,,,0,,,,,19,,,,,,Character
Koralk (Harvester Devil),15,,11,136,,,136,1,11,,108,,Tome of Beasts,,Fiend
Lantern Dragonette,13,,0.5,28,,,28,1,11,,270,,Tome of Beasts,,Dragon
Compsognathus,12,,0.125,10,,,10,2,12,,108,,Tome of Beasts 2,,Beast
Sea Dragon Wyrmling,17,,2,52,,,52,0,10,,136,,Tome of Beasts,,Dragon
Haugbui,18,,13,136,,,136,3,13,,247,,Tome of Beasts,,Undead
Ice Willow,15,,6,142,,,142,-1,9,,240,,Tome of Beasts 3,,Plant
Brown Bear,11,,1,34,,,34,0,10,,319,,5e SRD,,Beast
Web Zombie,8,,1,22,,,22,-2,8,,209,,Tome of Beasts 2,,Undead
Remorhaz Spawn,14,,5,95,,,95,2,12,,369,,A5e Monstrous Menagerie,,Monstrosity
Scarlet Ibis,14,,5,135,,,135,2,12,,318,,Tome of Beasts 2,,Monstrosity
Rimewing,12,,0.25,22,,,22,2,12,,178,,Creature Codex,,Beast
Adult Sea Dragon,19,,16,225,,,225,0,10,Legendary,135,,Tome of Beasts,,Dragon
Giant Boar,12,,2,42,,,42,0,10,,323,,5e SRD,,Beast
Flithidir,13,,1,27,,,27,3,13,,154,,Tome of Beasts 2,,Fey
Snow Cat,12,,0.25,13,,,13,2,12,,346,,Creature Codex,,Beast
Giant Snow Beetle,12,,1,45,,,45,0,10,,392,,Tome of Beasts 2,,Beast
Zanskaran Viper,14,,1,38,,,38,0,10,,354,,Tome of Beasts,,Beast
Hantu Penanggal,14,,8,123,,,123,3,13,,192,,Tome of Beasts 2,,Fiend
Giant Spider,14,,1,26,,,26,3,13,,328,,5e SRD,,Beast
Folk Of Leng,14,,2,68,,,68,2,12,,204,,Tome of Beasts,,Humanoid
Swarm of Compsognathus,12,,1,44,,,44,2,12,,108,,Tome of Beasts 2,,Beast
Owlbear,13,,3,59,,,59,1,11,,249,,5e SRD,,Monstrosity
Warlock's Trumpetbloom,15,,7,152,,,152,0,10,,372,,Creature Codex,,Plant
Sinstar Thrall,13,,2,58,,,58,0,10,,346,,Tome of Beasts 3,,Plant
Darakhul High Priestess EOTG,17,,9,112,,,112,2,12,,172,,Creature Codex,,Undead
Gullkin,14,,0.5,27,,,27,3,13,,223,,Tome of Beasts 3,,Humanoid
Ancient Flame Dragon,22,,24,481,,,481,2,12,Legendary,128,,Tome of Beasts,,Dragon
Skull Lantern,13,,0.25,14,,,14,3,13,,343,,Creature Codex,,Undead
Holy Knight,18,,6,93,,,93,1,11,,476,,A5e Monstrous Menagerie,,Humanoid
Domovoi,15,,4,93,,,93,1,11,,122,,Tome of Beasts,,Fey
Pale Screamer,14,,3,52,,,52,2,12,,290,,Tome of Beasts 2,,Aberration
Noble,15,,0.125,9,,,9,1,11,,348,,5e SRD,,Humanoid
Far Wanderer,14,,3,88,,,88,4,14,,151,,Creature Codex,,Aberration
Hunter Shark,12,,2,45,,,45,1,11,,330,,5e SRD,,Beast
Ancient Brass Dragon,20,,20,297,,,297,0,10,Legendary,104,,5e SRD,,Dragon
"Angel, Pelagic Deva",17,,11,142,,,142,4,14,,27,,Tome of Beasts 3,,Celestial
Giant Walking Stick,14,,4,76,,,76,2,12,,201,,Tome of Beasts 3,,Beast
Iron Guardian,20,,14,210,,,210,1,11,,263,,A5e Monstrous Menagerie,,Construct
Bookkeeper,12,,0.125,5,,,5,2,12,,55,,Creature Codex,,Construct
Alpha Yek,16,,9,129,,,129,3,13,,14,,Creature Codex,,Fiend
Spark,16,,7,84,,,84,5,15,,357,,Tome of Beasts,,Elemental
Giant Fire Beetle,13,,0,4,,,4,0,10,,325,,5e SRD,,Beast
Haleshi,17,,7,123,,,123,3,13,,191,,Tome of Beasts 2,,Fey
Tribal Warrior,12,,0.125,11,,,11,0,10,,350,,5e SRD,,Humanoid
Kobold Alchemist,15,,2,44,,,44,3,13,,261,,Tome of Beasts,,Humanoid
Manticore,14,,3,68,,,68,3,13,,213,,5e SRD,,Monstrosity
Lemure,7,,0,13,,,13,-3,7,,76,,5e SRD,,Fiend
Bugbear,16,,1,27,,,27,2,12,,33,,5e SRD,,Humanoid
Ashen Custodian,15,,6,99,,,99,5,15,,29,,Tome of Beasts 2,,Fey
Flumph,12,,0.125,7,,,7,2,12,,207,,A5e Monstrous Menagerie,,Aberration
Bat,12,,0,1,,,1,2,12,,318,,5e SRD,,Beast
Sulsha,16,,4,90,,,90,2,12,,136,,Tome of Beasts 2,,Humanoid
Spawn of Alquam,16,,6,114,,,114,3,13,,95,,Tome of Beasts 2,,Fiend
Forgotten Regent,17,,10,187,,,187,0,10,Legendary,187,,Tome of Beasts 3,,Undead
Porcellina,13,,0.5,28,,,28,3,13,,317,,Tome of Beasts 3,,Beast
Three-Headed Cobra,16,,5,127,,,127,4,14,,354,,Creature Codex,,Monstrosity
Horde Demon,13,,3,52,,,52,1,11,,70,,A5e Monstrous Menagerie,,Fiend
Keyhole Dragonette,14,,0.5,27,,,27,2,12,,180,,Tome of Beasts 2,,Dragon
"Crab, Razorback",17,,2,58,,,58,0,10,,98,,Tome of Beasts 3,,Beast
Barometz,15,,6,95,,,95,0,10,,38,,Tome of Beasts 2,,Plant
Arcane Scavenger,17,,9,127,,,127,4,14,,41,,Tome of Beasts 3,,Construct
Wolf Reaver Dwarf,16,,3,76,,,76,1,11,,426,,Tome of Beasts,,Humanoid
Gaunt One,14,,3,75,,,75,2,12,,163,,Tome of Beasts 2,,Aberration
"Giant, Thursir Hearth Priestess",14,,4,85,,,85,2,12,,207,,Tome of Beasts 3,,Giant
Dire Tyrannosaurus Rex,13,,8,253,,,253,0,10,,92,,A5e Monstrous Menagerie,,Beast
Young Silver Dragon,18,,9,168,,,168,0,10,,118,,5e SRD,,Dragon
Ion Slime,13,,5,112,,,112,3,13,,245,,Tome of Beasts 3,,Ooze
Mirager,13,,3,78,,,78,3,13,,291,,Tome of Beasts,,Fey
Akanka,12,,2,45,,,45,2,12,,10,,Tome of Beasts 3,,Fey
Ghul,15,,5,105,,,105,2,12,,169,,Tome of Beasts 2,,Undead
Huecambra,17,,8,136,,,136,1,11,,203,,Tome of Beasts 2,,Monstrosity
Pal-Rai-Yuk,16,,8,133,,,133,0,10,,291,,Tome of Beasts 2,,Monstrosity
Alpine Creeper,5,,3,95,,,95,-5,5,,19,,Tome of Beasts 3,,Plant
Snake with a Hundred Mage Hands,14,,3,67,,,67,4,14,,333,,Tome of Beasts 2,,Monstrosity
Gelatinous Wall,6,,7,136,,,136,-4,6,,351,,A5e Monstrous Menagerie,,Ooze
Pescavitus,13,,1,44,,,44,3,13,,315,,Tome of Beasts 3,,Celestial
Dream Squire,15,,2,71,,,71,2,12,,134,,Creature Codex,,Fey
Glacier Behemoth,18,,12,172,,,172,-4,6,,177,,Tome of Beasts 2,,Beast
Giant Frilled Lizard,16,,5,105,,,105,4,14,,392,,Tome of Beasts 2,,Beast
Ancient Red Dragon (+),22,,26,448,,,448,0,10,Legendary,116,,A5e Monstrous Menagerie,,Dragon
Firebird,16,,4,99,,,99,4,14,,201,,Tome of Beasts,,Celestial
Horned Tauric,13,,2,45,,,45,3,13,,44,,A5e Monstrous Menagerie,,Fey
Fragrant One,11,,3,45,,,45,1,11,,156,,Tome of Beasts 2,,Fey
Giant Frog,11,,0.25,18,,,18,1,11,,325,,5e SRD,,Beast
Sphinx,20,,11,142,,,142,2,12,,398,,A5e Monstrous Menagerie,,Monstrosity
Catonoctrix,18,,10,168,,,168,1,11,,75,,Tome of Beasts 3,,Aberration
Remorhaz,17,,11,195,,,195,1,11,,258,,5e SRD,,Monstrosity
Axe Beak,11,,0.25,19,,,19,1,11,,317,,5e SRD,,Beast
"Ghoul, Imperial",16,,4,93,,,93,2,12,,220,,Tome of Beasts,,Undead
Pech Stonemaster,16,,4,65,,,65,0,10,,295,,Creature Codex,,Elemental
Ancient Imperial Dragon,22,,26,546,,,546,1,11,Legendary,117,,Tome of Beasts 2,,Dragon
Cosmic Symphony,18,,15,200,,,200,8,18,Legendary,96,,Tome of Beasts 3,,Celestial
Hezrou,16,,8,136,,,136,3,13,,60,,5e SRD,,Fiend
Herald Of Darkness,15,,7,105,,,105,2,12,,249,,Tome of Beasts,,Fiend
Arbeyach,17,,21,275,,,275,5,15,Legendary,95,,Tome of Beasts,,Fiend
"Giant, Lantern",16,,12,225,,,225,1,11,,204,,Tome of Beasts 3,,Giant
The Barbed,13,,1,44,,,44,3,13,,406,,Creature Codex,,Humanoid
Rum Lord,15,,4,78,,,78,2,12,,185,,Tome of Beasts 2,,Fey
Stone Colossus,17,,16,263,,,263,0,10,Legendary,266,,A5e Monstrous Menagerie,,Construct
Ancient Copper Dragon,21,,21,350,,,350,1,11,Legendary,110,,5e SRD,,Dragon
Ancient Blue Dragon,22,,23,481,,,481,0,10,Legendary,90,,5e SRD,,Dragon
Megapede,15,,3,75,,,75,2,12,,266,,Creature Codex,,Monstrosity
Cosmopolitan Alchemist,14,,6,91,,,91,3,13,,467,,A5e Monstrous Menagerie,,Humanoid
Kachlian,16,,8,157,,,157,0,10,,219,,Tome of Beasts 2,,Aberration
"Lycanthrope, Werecrocodile",12,,3,58,,,58,1,11,,265,,Tome of Beasts 3,,Humanoid
Aziza,15,,0.5,21,,,21,4,14,,49,,Tome of Beasts 3,,Fey
Dipsa,15,,0.25,27,,,27,3,13,,118,,Tome of Beasts,,Ooze
Bearing Golem,16,,6,75,,,75,4,14,,181,,Tome of Beasts 2,,Construct
Muraenid,14,,2,45,,,45,2,12,,281,,Tome of Beasts 3,,Monstrosity
Dark Father,18,,4,65,,,65,2,12,,71,,Creature Codex,,Undead
Frog,11,,0,1,,,1,1,11,,322,,5e SRD,,Beast
Riding Horse,10,,0.25,13,,,13,0,10,,336,,5e SRD,,Beast
Wanyudo,16,,8,115,,,115,2,12,,364,,Tome of Beasts 2,,Fiend
Horned Serpent,18,,12,210,,,210,3,13,,220,,Creature Codex,,Monstrosity
Shadow Goblin,13,,0.5,13,,,13,3,13,,326,,Creature Codex,,Humanoid
Black Patch,7,,6,153,,,153,-3,7,,58,,Tome of Beasts 3,,Ooze
Tosculi Jeweled Drone,15,,4,90,,,90,4,14,,355,,Creature Codex,,Humanoid
Mangrove Treant,15,,7,136,,,136,-2,8,,350,,Tome of Beasts 2,,Plant
Cloud Giant Noble,14,,12,187,,,187,0,10,,233,,A5e Monstrous Menagerie,,Giant
Berserker,13,,2,67,,,67,1,11,,344,,5e SRD,,Humanoid
Garroter Crab,13,,0.25,18,,,18,2,12,,208,,Tome of Beasts,,Beast
Ogre Mage,16,,7,102,,,102,0,10,,348,,A5e Monstrous Menagerie,,Giant
Hierophant Lich,14,,9,91,,,91,1,11,Legendary,252,,Creature Codex,,Undead
"Troll, Rattleback",16,,7,126,,,126,4,14,,374,,Tome of Beasts 3,,Giant
Scheznyki,16,,6,153,,,153,2,12,,339,,Tome of Beasts,,Fey
Ghost Boar,13,,3,68,,,68,0,10,,169,,Creature Codex,,Monstrosity
"Ghoul, Darakhul EOTG",16,,3,78,,,78,3,13,,216,,Tome of Beasts,,Undead
Haunted Giant,20,,6,126,,,126,-1,9,,183,,Creature Codex,,Giant
Efreeti Noble,17,,11,344,,,344,4,14,,221,,A5e Monstrous Menagerie,,Elemental
Crime Boss,15,,6,127,,,127,2,12,,496,,A5e Monstrous Menagerie,,Humanoid
Thornheart Guardian,18,,9,133,,,133,0,10,,346,,Tome of Beasts 2,,Construct
Quiet Soul,15,,6,90,,,90,0,10,,309,,Creature Codex,,Undead
Yowler,12,,0.5,22,,,22,2,12,,380,,Tome of Beasts 2,,Undead
Temple Dog,15,,5,97,,,97,2,12,,378,,Tome of Beasts,,Celestial
Flying Snake,14,,0.125,5,,,5,4,14,,322,,5e SRD,,Beast
Dwarven Ringmage,16,,7,82,,,82,2,12,,420,,Tome of Beasts,,Humanoid
Khamaseen,13,,1,27,,,27,2,12,,250,,Tome of Beasts 3,,Elemental
Wraith Bear,13,,9,133,,,133,3,13,,375,,Tome of Beasts 2,,Undead
Young Wasteland Dragon,18,,9,178,,,178,0,10,,118,,Creature Codex,,Dragon
Liosalfar,17,,8,110,,,110,7,17,,277,,Tome of Beasts,,Elemental
Hill Giant Chief,13,,8,126,,,126,-1,9,,238,,A5e Monstrous Menagerie,,Giant
Gaki,14,,8,75,,,75,4,14,,390,,Creature Codex,,Undead
Thin Giant,16,,9,168,,,168,3,13,,175,,Tome of Beasts 2,,Giant
Boar,11,,0.25,11,,,11,0,10,,319,,5e SRD,,Beast
Ratfolk Rogue,15,,1,18,,,18,3,13,,320,,Tome of Beasts,,Humanoid
Library Automaton,13,,0.5,7,,,7,1,11,,273,,Tome of Beasts,,Construct
Pirate,12,,0.125,9,,,9,0,10,,470,,A5e Monstrous Menagerie,,Humanoid
Solar,21,,21,243,,,243,6,16,Legendary,18,,5e SRD,,Celestial
Ancient Void Dragon,22,,24,448,,,448,0,10,Legendary,138,,Tome of Beasts,,Dragon
Fire Dancer Swarm,15,,7,90,,,90,5,15,,373,,Tome of Beasts,,Elemental
Hirudine Stalker,13,,2,52,,,52,3,13,,235,,Tome of Beasts 3,,Monstrosity
Erina Tussler,14,,3,66,,,66,3,13,,172,,Tome of Beasts 3,,Humanoid
Mallqui,14,,8,120,,,120,-1,9,,282,,Tome of Beasts,,Undead
Veritigibbet,14,,4,63,,,63,4,14,,384,,Tome of Beasts 3,,Fey
Emperor’s Hyena,14,,4,91,,,91,2,12,,135,,Tome of Beasts 2,,Undead
Fleshspurned,14,,4,75,,,75,4,14,,153,,Tome of Beasts 2,,Undead
Lorelei,15,,5,76,,,76,5,15,,279,,Tome of Beasts,,Fey
Ice Maiden,16,,6,84,,,84,3,13,,254,,Tome of Beasts,,Fey
Sentinel in Darkness,13,,7,127,,,127,-1,9,,323,,Creature Codex,,Construct
Ancient Earth Dragon,22,,24,425,,,425,2,12,Legendary,126,,A5e Monstrous Menagerie,,Dragon
Drakon,16,,5,105,,,105,4,14,,157,,Tome of Beasts,,Beast
"Devil, Infernal Tutor, Lesser",15,,7,110,,,110,3,13,,120,,Tome of Beasts 3,,Fiend
Rotsam Swarm,9,,6,142,,,142,-1,9,,309,,Tome of Beasts 2,,Ooze
Ikuchi,16,,8,116,,,116,1,11,,210,,Tome of Beasts 2,,Elemental
Ratfolk,14,,0.25,7,,,7,2,12,,320,,Tome of Beasts,,Humanoid
Imp Familiar,13,,0.5,14,,,14,3,13,,85,,A5e Monstrous Menagerie,,Fiend
"Swarm, Swamp Slirghs",10,,3,66,,,66,0,10,,363,,Tome of Beasts 3,,Elemental
Vapor Lynx,14,,5,127,,,127,4,14,,398,,Tome of Beasts,,Monstrosity
Bone Crab,13,,0.5,33,,,33,2,12,,40,,Tome of Beasts,,Beast
Zombie Knight,16,,3,52,,,52,-2,8,,437,,A5e Monstrous Menagerie,,Undead
Dream Eater,15,,5,75,,,75,4,14,,158,,Tome of Beasts,,Fiend
Azza Gremlin,14,,0.25,7,,,7,4,14,,28,,Tome of Beasts,,Fey
Vrock,15,,6,104,,,104,2,12,,64,,5e SRD,,Fiend
Gnoll Slaver,15,,3,71,,,71,2,12,,189,,Creature Codex,,Humanoid
Mirage Monster,12,,4,76,,,76,2,12,Legendary,333,,A5e Monstrous Menagerie,,Monstrosity
"Ooze, Manure",7,,1,45,,,45,-3,7,,306,,Tome of Beasts 3,,Ooze
Ettin,12,,4,85,,,85,-1,9,,132,,5e SRD,,Giant
Soul Eater,16,,7,104,,,104,6,16,,356,,Tome of Beasts,,Fiend
Chameleon Hydra,15,,10,184,,,184,3,13,,207,,Tome of Beasts 2,,Monstrosity
Caldera Kite,17,,7,119,,,119,4,14,,71,,Tome of Beasts 3,,Monstrosity
Npc: Warlock Of The Genie Lord,15,,5,78,,,78,3,13,,411,,Tome of Beasts 3,,Humanoid
Rattok,14,,4,66,,,66,3,13,,90,,Creature Codex,,Fiend
Alliumite,14,,0.25,18,,,18,4,14,,13,,Creature Codex,,Plant
Gynosphinx,17,,11,136,,,136,2,12,Legendary,282,,5e SRD,,Monstrosity
Speaker to the Darkness,16,,5,135,,,135,3,13,,96,,Creature Codex,,Humanoid
Umbral Shambler,13,,2,39,,,39,3,13,,380,,Tome of Beasts 3,,Aberration
Wrackwraith,13,,3,45,,,45,3,13,,395,,Tome of Beasts 3,,Undead
Abaasy,18,,8,126,,,126,0,10,,8,,Tome of Beasts 3,,Giant
Ur-Otyugh,14,,10,144,,,144,0,10,Legendary,354,,A5e Monstrous Menagerie,,Aberration
Grivid,17,,11,180,,,180,3,13,,221,,Tome of Beasts 3,,Aberration
Clockwork Tactician,16,,11,150,,,150,2,12,,90,,Tome of Beasts 3,,Construct
Vine Lord,16,,7,105,,,105,5,15,,402,,Tome of Beasts,,Plant
Timingila,18,,15,232,,,232,-3,7,,349,,Tome of Beasts 2,,Monstrosity
Death Vulture,12,,4,76,,,76,0,10,,81,,Tome of Beasts 2,,Monstrosity
Chupacabra,13,,0.5,36,,,36,2,12,,63,,Creature Codex,,Monstrosity
Wind Weasel,13,,2,52,,,52,3,13,,381,,Creature Codex,,Fey
Stygian Fat-Tailed Scorpion,14,,3,10,,,10,3,13,,340,,Tome of Beasts,,Beast
Darakhul Shadowmancer,12,,4,52,,,52,3,13,,173,,Creature Codex,,Undead
Ghoul,12,Evil,1,22,,"Abandoned, Dungeons, Underdark",22,2,12,,148,Medium,5e SRD,30,Undead
Shadow Fey Guardian,15,,4,110,,,110,2,12,,171,,Tome of Beasts,,Humanoid
Abominable Snowman,12,,4,136,,,136,1,11,,433,,A5e Monstrous Menagerie,,Monstrosity
Dust Goblin Chieftain,16,,3,44,,,44,4,14,,136,,Creature Codex,,Humanoid
Vulture,10,,0,5,,,5,0,10,,339,,5e SRD,,Beast
Lava Keeper,18,,18,276,,,276,0,10,,235,,Tome of Beasts 2,,Elemental
Fear Smith,17,,10,123,,,123,3,13,,181,,Tome of Beasts,,Fey
Diseased Giant Rat,12,,0.125,7,,,7,2,12,,449,,A5e Monstrous Menagerie,,Beast
Chemosit,15,,5,119,,,119,3,13,,82,,Tome of Beasts 3,,Fiend
Aurora Horribilis,15,,9,119,,,119,5,15,,34,,Tome of Beasts 2,,Aberration
Kryt,15,,5,120,,,120,0,10,,243,,Creature Codex,,Humanoid
Fang of the Great Wolf,14,,3,65,,,65,1,11,,384,,Creature Codex,,Monstrosity
Graveyard Dragon,16,,7,127,,,127,0,10,,183,,Tome of Beasts 2,,Undead
Malcubus,14,,4,78,,,78,3,13,,319,,A5e Monstrous Menagerie,,Fiend
Adult Red Dragon,19,,17,256,,,256,0,10,Legendary,98,,5e SRD,,Dragon
Raven,12,,0,1,,,1,2,12,,335,,5e SRD,,Beast
Gnarljak,16,,6,63,,,63,6,16,,229,,Tome of Beasts,,Construct
Albino Death Weasel,13,,1,45,,,45,2,12,,374,,Creature Codex,,Beast
Righteous Sentinel,15,,9,104,,,104,0,10,,307,,Tome of Beasts 2,,Construct
Mandriano,13,,5,60,,,60,-2,8,,261,,Creature Codex,,Plant
Emerald Eye,14,,1,54,,,54,2,12,,175,,Tome of Beasts,,Construct
Ichneumon,16,,11,123,,,123,4,14,,224,,Creature Codex,,Monstrosity
Flame-Scourged Scion,16,,9,125,,,125,3,13,,159,,Creature Codex,,Aberration
Necrophage Ghast,13,,4,65,,,65,3,13,,175,,Creature Codex,,Undead
Fulminar,15,,9,112,,,112,5,15,,165,,Creature Codex,,Elemental
Prismatic Beetle Swarm,13,,3,38,,,38,3,13,,375,,Tome of Beasts,,Beast
Gypsosphinx,17,,14,171,,,171,2,12,Legendary,359,,Tome of Beasts,,Monstrosity
Torch Mimic,12,,0.5,21,,,21,2,12,,370,,Tome of Beasts 3,,Monstrosity
"Devil, Maelstrom",17,,12,195,,,195,3,13,,122,,Tome of Beasts 3,,Fiend
Nichny,17,,6,112,,,112,4,14,,303,,Tome of Beasts,,Fey
Forgotten God,17,,10,161,,,161,4,14,,209,,A5e Monstrous Menagerie,,Celestial
Koschei,18,,17,135,,,135,1,11,Legendary,266,,Tome of Beasts,,Fiend
Harbinger of Wrath,21,,20,297,,,297,-1,9,,193,,Tome of Beasts 2,,Construct
Gloomflower,12,,3,44,,,44,-2,8,,188,,Creature Codex,,Plant
